Product code,Station number,Year,Month,Monthly Precipitation Total (mm),Quality
IDCJAC0001,86071,1886,3,43.6,Y
IDCJAC0001,86071,1886,4,24.1,Y
IDCJAC0001,86071,1886,5,20.6,Y
IDCJAC0001,86071,1886,6,20.9,Y
IDCJAC0001,86071,1886,7,21.6,Y
IDCJAC0001,86071,1886,8,62.7,Y
IDCJAC0001,86071,1886,9,33.1,Y
IDCJAC0001,86071,1886,10,72.1,Y
IDCJAC0001,86071,1886,11,67.8,Y
IDCJAC0001,86071,1886,12,89.8,Y
IDCJAC0001,86071,1887,1,28.3,Y
IDCJAC0001,86071,1887,2,67.2,Y
IDCJAC0001,86071,1887,3,20.7,Y
IDCJAC0001,86071,1887,4,123.5,Y
IDCJAC0001,86071,1887,5,50.5,Y
IDCJAC0001,86071,1887,6,77.4,Y
IDCJAC0001,86071,1887,7,66.4,Y
IDCJAC0001,86071,1887,8,26.3,Y
IDCJAC0001,86071,1887,9,68.8,Y
IDCJAC0001,86071,1887,10,72,Y
IDCJAC0001,86071,1887,11,84.2,Y
IDCJAC0001,86071,1887,12,139.1,Y
IDCJAC0001,86071,1888,1,65.7,Y
IDCJAC0001,86071,1888,2,10.8,Y
IDCJAC0001,86071,1888,3,54.8,Y
IDCJAC0001,86071,1888,4,21.2,Y
IDCJAC0001,86071,1888,5,95.7,Y
IDCJAC0001,86071,1888,6,30.4,Y
IDCJAC0001,86071,1888,7,38.5,Y
IDCJAC0001,86071,1888,8,23.3,Y
IDCJAC0001,86071,1888,9,34.5,Y
IDCJAC0001,86071,1888,10,34.5,Y
IDCJAC0001,86071,1888,11,15.9,Y
IDCJAC0001,86071,1888,12,43.2,Y
IDCJAC0001,86071,1889,1,133.5,Y
IDCJAC0001,86071,1889,2,38.2,Y
IDCJAC0001,86071,1889,3,6.1,Y
IDCJAC0001,86071,1889,4,91.6,Y
IDCJAC0001,86071,1889,5,23.8,Y
IDCJAC0001,86071,1889,6,70.3,Y
IDCJAC0001,86071,1889,7,38.8,Y
IDCJAC0001,86071,1889,8,54.2,Y
IDCJAC0001,86071,1889,9,39.4,Y
IDCJAC0001,86071,1889,10,73.8,Y
IDCJAC0001,86071,1889,11,108.1,Y
IDCJAC0001,86071,1889,12,39.3,Y
IDCJAC0001,86071,1890,1,34.9,Y
